temps;Angle Pivot
0005.714; 00040
0005.729; 00020
0005.746; 00020
0005.761; 00040
0005.777; 00020
0005.791; 00060
0005.809; 00040
0005.825; 00020
0005.839; 00040
0005.853; 00040
0005.869; 00040
0005.885; 00000
0005.901; 00020
0005.916; 00040
0005.933; 00040
0005.946; 00040
0005.964; 00040
0005.978; 00020
0005.994; 00040
0006.010; 00020
0006.026; 00040
0006.041; 00040
0006.057; 00000
0006.071; 00020
0006.089; 00040
0006.103; 00060
0006.119; 00040
0006.135; 00040
0006.149; 00040
0006.165; 00040
0006.181; 00040
0006.196; 00040
0006.213; 00060
0006.228; 00020
0006.244; 00020
0006.258; 00040
0006.274; 00040
0006.290; 00060
0006.305; 00020
0006.321; 00040
0006.337; 00040
0006.353; 00040
0006.369; 00020
0006.383; 00040
0006.401; 00040
0006.413; 00040
0006.429; 00040
0006.445; 00020
0006.461; 00040
0006.477; 00040
0006.493; 00040
0006.508; 00040
0006.525; 00020
0006.538; 00060
0006.554; 00040
0006.570; 00060
0006.588; 00020
0006.604; 00040
0006.617; 00020
0006.633; 00020
0006.647; 00020
0006.663; 00040
0006.679; 00020
0006.695; 00060
0006.711; 00040
0006.725; 00040
0006.741; 00040
0006.757; 00040
0006.772; 00040
0006.788; 00020
0006.804; 00040
0006.820; 00020
0006.836; 00040
0006.850; 00000
0006.868; 00040
0006.881; 00040
0006.897; 00040
0006.913; 00040
0006.929; 00060
0006.945; 00040
0006.961; 00020
0006.975; 00060
0006.993; 00040
0007.005; 00040
0007.023; 00040
0007.037; 00040
0007.053; 00020
0007.069; 00040
0007.084; 00040
0007.100; 00040
0007.116; 00040
0007.130; 00020
0007.202; 00040
0007.210; 00040
0007.225; 00000
0007.241; 00040
0007.255; 00040
0007.271; 00040
0007.287; 00060
0007.303; 00060
0007.317; 00060
0007.333; 00040
0007.348; 00040
0007.365; 00040
0007.380; 00040
0007.396; 00020
0007.412; 00040
0007.428; 00020
0007.442; 00040
0007.460; 00040
0007.473; 00020
0007.490; 00040
0007.505; 00020
0007.521; 00040
0007.537; 00040
0007.551; 00000
0007.567; 00020
0007.583; 00060
0007.597; 00040
0007.613; 00040
0007.629; 00020
0007.645; 00040
0007.660; 00040
0007.676; 00040
0007.692; 00020
0007.706; 00040
0007.722; 00040
0007.738; 00040
0007.754; 00040
0007.770; 00000
0007.785; 00040
0007.815; 00040
0007.831; 00040
0007.849; 00040
0007.863; 00040
0007.879; 00060
0007.895; 00040
0007.910; 00040
0007.925; 00040
0007.940; 00020
0007.958; 00040
0007.972; 00040
0007.988; 00020
0008.004; 00040
0008.018; 00020
0008.034; 00040
0008.050; 00020
0008.065; 00040
0008.082; 00040
0008.097; 00040
0008.113; 00060
0008.127; 00020
0008.143; 00020
0008.159; 00060
0008.173; 00020
0008.190; 00020
0008.206; 00060
0008.236; 00020
0008.252; 00020
0008.268; 00040
0008.282; 00040
0008.298; 00040
0008.314; 00040
0008.335; 00020
0008.348; 00020
0008.361; 00040
0008.377; 00020
0008.393; 00040
0008.407; 00040
0008.425; 00040
0008.439; 00040
0008.455; 00040
0008.486; 00060
0008.502; 00060
0008.518; 00020
0008.532; 00060
0008.548; 00060
0008.578; 00040
0008.594; 00020
0008.610; 00020
0008.626; 00040
0008.642; 00060
0008.657; 00040
0008.673; 00040
0008.687; 00040
0008.705; 00040
0008.719; 00000
0008.735; 00000
0008.750; 00040
0008.766; 00040
0008.782; 00020
0008.796; 00040
0008.812; 00060
0008.828; 00020
0008.844; 00060
0008.860; 00060
0008.874; 00040
0008.892; 00020
0008.921; 00060
0008.937; 00040
0008.953; 00020
0008.969; 00040
0008.983; 00000
0008.999; 00040
0009.017; 00040
0009.030; 00060
0009.046; 00020
0009.062; 00060
0009.078; 00040
0009.094; 00060
0009.111; 00040
0009.124; 00020
0009.140; 00040
0009.154; 00060
0009.172; 00060
0009.186; 00040
0009.202; 00020
0009.217; 00020
0009.233; 00040
0009.249; 00020
0009.263; 00020
0009.279; 00040
0009.295; 00020
0009.311; 00020
0009.327; 00060
0009.342; 00040
0009.358; 00040
0009.372; 00020
0009.388; 00040
0009.404; 00060
0009.420; 00040
0009.436; 00020
0009.450; 00060
0009.466; 00040
0009.484; 00040
0009.497; 00020
0009.514; 00060
0009.529; 00020
0009.545; 00020
0009.561; 00060
0009.575; 00020
0009.591; 00040
0009.607; 00060
0009.622; 00040
0009.639; 00020
0009.654; 00020
0009.670; 00040
0009.684; 00040
0009.700; 00060
0009.716; 00040
0009.730; 00060
0009.746; 00040
0009.762; 00040
0009.778; 00040
0009.794; 00060
0009.809; 00000
0009.826; 00060
0009.839; 00040
0009.855; 00040
0009.871; 00040
0009.887; 00040
0009.903; 00040
0009.919; 00040
0009.934; 00060
0009.951; 00040
0009.964; 00040
0009.985; 00040
0009.996; 00040
0010.012; 00040
0010.028; 00040
0010.042; 00020
0010.058; 00040
0010.074; 00040
0010.089; 00040
0010.106; 00040
0010.121; 00020
0010.137; 00040
0010.151; 00040
0010.167; 00040
0010.183; 00040
0010.198; 00040
0010.214; 00060
0010.230; 00060
0010.246; 00020
0010.262; 00020
0010.276; 00060
0010.294; 00040
0010.306; 00020
0010.322; 00000
0010.338; 00060
0010.354; 00040
0010.370; 00040
0010.386; 00060
0010.401; 00040
0010.417; 00060
0010.431; 00040
0010.449; 00040
0010.463; 00040
0010.479; 00040
0010.495; 00040
0010.510; 00020
0010.526; 00040
0010.542; 00000
0010.556; 00040
0010.574; 00040
0010.588; 00040
0010.604; 00040
0010.618; 00060
0010.634; 00020
0010.650; 00020
0010.665; 00020
0010.681; 00040
0010.697; 00060
0010.713; 00020
0010.729; 00040
0010.743; 00040
0010.774; 00020
0010.790; 00060
0010.806; 00020
0010.822; 00040
0010.838; 00040
0010.866; 00040
0010.884; 00060
0010.898; 00040
0010.914; 00060
0010.930; 00040
0010.946; 00040
0010.977; 00020
0010.996; 00060
0011.007; 00040
0011.023; 00020
0011.039; 00040
0011.055; 00040
0011.086; 00060
0011.102; 00000
0011.118; 00020
0011.132; 00040
0011.148; 00040
0011.164; 00020
0011.194; 00040
0011.210; 00040
0011.226; 00040
0011.241; 00060
