temps;Consigne tangage PC;Effort milli N;;temps;Consigne tangage PC;Effort milli N
1,886;51;-10;;5,92;40;471
1,897;51;-10;;5,931;40;461
1,905;51;-10;;5,939;40;471
1,916;51;-10;;5,95;40;471
1,927;51;0;;5,961;40;471
1,937;51;-10;;5,971;40;461
1,946;51;-10;;5,98;40;471
1,958;51;0;;5,991;40;481
1,967;51;0;;6,001;40;471
1,976;51;-10;;6,01;40;461
1,986;51;-10;;6,02;40;471
1,997;51;0;;6,031;40;481
2,008;51;0;;6,04;40;471
2,018;51;0;;6,05;40;471
2,027;51;-10;;6,061;40;481
2,037;51;0;;6,07;40;481
2,046;51;0;;6,08;40;471
2,057;51;0;;6,091;40;471
2,067;51;-10;;6,099;40;490
2,076;51;0;;6,11;40;490
2,087;51;0;;6,121;40;481
2,097;51;-10;;6,129;40;481
2,114;51;-10;;6,14;40;481
2,127;51;0;;6,151;40;490
2,138;51;-10;;6,159;40;481
2,146;51;-10;;6,17;40;481
2,155;51;0;;6,18;40;481
2,168;51;0;;6,2;40;481
2,176;51;0;;6,21;40;471
2,185;51;-10;;6,23;40;471
2,195;51;-10;;6,24;40;471
2,208;51;0;;6,251;40;481
2,217;51;0;;6,259;40;481
2,225;51;-10;;6,27;40;471
2,236;51;0;;6,281;40;481
2,255;51;-10;;6,289;40;481
2,268;51;0;;6,3;40;481
2,276;51;-10;;6,311;40;481
2,287;51;0;;6,319;40;471
2,296;51;0;;6,33;40;471
2,308;51;-10;;6,34;40;471
2,315;51;-20;;6,349;40;471
2,325;51;-20;;6,36;40;471
2,338;51;-10;;6,37;40;461
2,345;51;-10;;6,379;40;461
2,355;51;-10;;6,39;40;471
2,366;51;-10;;6,4;40;471
2,377;51;-20;;6,409;40;461
2,385;51;-20;;6,419;40;461
2,396;51;-20;;6,43;40;471
2,404;51;-20;;6,449;40;471
2,417;51;0;;6,46;40;471
2,426;51;10;;6,471;40;471
2,434;51;0;;6,479;40;461
2,447;51;0;;6,49;40;471
2,456;51;10;;6,5;40;471
2,475;51;10;;6,509;40;471
2,485;51;10;;6,52;40;461
2,498;51;20;;6,53;40;461
2,515;51;29;;6,539;40;471
2,526;51;29;;6,55;40;471
2,537;51;29;;6,56;40;461
2,547;51;39;;6,569;40;471
2,556;51;39;;6,579;40;471
2,567;51;49;;6,59;40;461
2,575;51;49;;6,599;40;461
2,588;51;69;;6,609;40;461
2,596;51;78;;6,62;40;461
2,605;51;108;;6,628;40;461
2,616;51;108;;6,641;40;461
2,626;51;118;;6,65;40;461
2,637;51;128;;6,669;40;461
2,645;51;128;;6,68;40;461
2,656;51;157;;6,69;40;471
2,667;51;147;;6,699;40;471
2,675;51;177;;6,71;40;461
2,686;51;167;;6,72;40;461
2,695;51;177;;6,729;40;471
2,705;51;186;;6,739;40;471
2,716;51;177;;6,75;40;461
2,724;51;196;;6,759;40;471
2,735;51;196;;6,769;40;471
2,746;51;206;;6,78;40;461
2,756;51;235;;6,788;40;461
2,765;51;226;;6,799;40;471
2,776;51;265;;6,81;40;471
2,784;51;275;;6,82;40;461
2,797;51;294;;6,829;40;461
2,805;51;314;;6,84;40;471
2,816;51;314;;6,85;40;471
2,825;51;314;;6,859;40;471
2,837;51;334;;6,87;40;471
2,844;51;324;;6,88;40;471
2,855;51;324;;6,889;40;471
2,865;51;334;;6,899;40;471
2,874;51;334;;6,91;40;471
2,884;51;343;;6,919;40;471
2,897;51;353;;6,929;40;461
2,904;51;353;;6,94;40;471
2,916;51;353;;6,959;40;461
2,925;51;373;;6,97;40;471
2,936;51;363;;6,989;40;481
2,946;51;363;;7;40;481
2,955;51;383;;7,01;40;471
2,965;51;383;;7,019;40;471
2,976;51;383;;7,03;40;471
2,985;51;392;;7,04;40;471
2,995;51;402;;7,049;40;471
3,006;51;392;;7,059;40;471
3,015;51;402;;7,07;40;471
3,025;51;402;;7,079;40;461
3,034;51;392;;7,089;40;471
3,053;51;412;;7,1;40;471
3,066;51;402;;7,108;40;461
3,076;51;412;;7,119;40;461
3,085;51;422;;7,13;40;461
3,093;51;422;;7,138;40;461
3,106;51;422;;7,149;40;461
3,115;51;422;;7,16;40;451
3,123;51;422;;7,172;40;461
3,134;51;422;;7,183;40;471
3,145;51;422;;7,19;40;461
3,155;51;422;;7,198;40;461
3,166;51;422;;7,209;40;461
3,175;51;422;;7,219;40;461
3,185;51;432;;7,228;40;461
3,196;51;432;;7,239;40;461
3,204;51;422;;7,249;40;471
3,215;51;432;;7,258;40;461
3,226;51;432;;7,271;40;461
3,234;51;422;;7,279;40;471
3,245;51;422;;7,29;40;471
3,253;51;432;;7,301;40;471
3,264;51;432;;7,313;40;471
3,275;51;432;;7,324;40;461
3,283;51;432;;7,328;40;471
3,303;51;441;;7,339;40;471
3,315;51;432;;7,358;40;481
3,326;51;432;;7,369;40;471
3,335;51;441;;7,379;40;471
3,345;51;441;;7,388;40;481
3,356;51;441;;7,399;40;481
3,364;51;441;;7,409;40;471
3,375;51;441;;7,418;40;471
3,384;51;451;;7,428;40;481
3,394;51;451;;7,439;30;481
3,405;51;451;;7,45;30;481
3,413;51;441;;7,458;30;481
3,424;51;441;;7,469;30;481
