temps;Consigne tangage PC;Effort milli N;;temps;Consigne tangage PC;Effort milli N
8,467;30;500;;12,442;10;559
8,476;30;490;;12,453;10;569
8,489;30;490;;12,461;10;569
8,499;30;500;;12,474;10;559
8,508;30;500;;12,482;10;569
8,519;30;490;;12,493;10;559
8,527;30;500;;12,502;10;559
8,546;30;510;;12,517;10;569
8,557;30;500;;12,521;10;559
8,568;30;500;;12,532;10;569
8,576;30;510;;12,544;10;569
8,587;30;500;;12,553;10;579
8,598;30;490;;12,564;10;579
8,606;30;490;;12,574;10;569
8,617;30;500;;12,581;10;569
8,63;30;500;;12,593;10;579
8,636;30;500;;12,602;10;569
8,647;30;490;;12,61;10;569
8,657;30;490;;12,63;10;579
8,666;30;490;;12,642;10;589
8,677;30;490;;12,653;10;589
8,687;30;490;;12,662;10;589
8,698;30;500;;12,672;10;589
8,709;30;500;;12,683;10;598
8,717;30;490;;12,692;10;598
8,726;30;500;;12,702;10;598
8,736;30;500;;12,711;10;598
8,747;30;500;;12,721;10;598
8,766;30;500;;12,741;10;589
8,779;30;510;;12,751;10;589
8,787;30;510;;12,762;10;579
8,798;30;510;;12,773;10;589
8,807;30;500;;12,783;10;589
8,817;30;510;;12,792;10;579
8,826;30;510;;12,802;10;569
8,839;30;510;;12,811;10;579
8,847;30;500;;12,824;10;579
8,856;30;500;;12,83;10;569
8,866;30;510;;12,841;10;569
8,877;30;510;;12,854;10;569
8,888;30;500;;12,86;10;579
8,896;30;510;;12,871;10;569
8,909;30;510;;12,881;10;559
8,915;30;500;;12,89;10;559
8,926;30;510;;12,901;10;569
8,937;30;500;;12,911;10;559
8,947;30;500;;12,92;10;549
8,958;30;500;;12,933;10;549
8,969;30;500;;12,941;10;549
8,977;30;510;;12,952;10;549
8,988;30;500;;12,962;10;549
8,997;30;500;;12,971;10;540
9,007;30;500;;12,982;10;540
9,018;30;490;;12,992;10;540
9,029;30;500;;13,001;10;540
9,037;30;500;;13,012;10;540
9,048;30;500;;13,02;10;530
9,056;30;510;;13,031;10;540
9,067;30;510;;13,041;10;549
9,075;30;500;;13,052;10;549
9,086;30;500;;13,063;10;549
9,097;30;510;;13,071;10;540
9,107;30;510;;13,082;10;540
9,116;30;500;;13,099;10;530
9,127;30;500;;13,11;10;530
9,135;30;510;;13,12;10;530
9,148;30;510;;13,131;10;540
9,157;30;500;;13,142;10;540
9,167;30;490;;13,15;10;540
9,176;30;510;;13,161;10;540
9,186;30;500;;13,169;10;549
9,195;30;490;;13,182;10;549
9,208;30;481;;13,191;10;540
9,216;30;500;;13,21;10;540
9,227;30;500;;13,221;10;549
9,238;30;500;;13,231;0;549
9,248;30;490;;13,242;0;559
9,265;30;490;;13,25;0;549
9,276;30;481;;13,261;0;559
9,287;30;481;;13,27;0;569
9,297;30;490;;13,282;0;569
9,306;30;490;;13,293;0;559
9,317;30;490;;13,302;0;549
9,327;30;490;;13,31;0;549
9,338;30;500;;13,323;0;559
9,349;30;510;;13,332;0;559
9,357;30;510;;13,342;0;559
9,374;30;490;;13,351;0;559
9,385;30;490;;13,359;0;569
9,398;30;500;;13,372;0;579
9,406;30;490;;13,381;0;579
9,417;30;500;;13,389;0;579
9,425;30;500;;13,402;0;589
9,436;30;500;;13,413;0;579
9,445;30;490;;13,43;0;579
9,455;30;490;;13,44;0;579
9,466;30;500;;13,451;0;579
9,485;30;490;;13,462;0;579
9,496;30;500;;13,472;0;579
9,506;30;500;;13,489;0;569
9,515;30;500;;13,5;0;569
9,526;30;500;;13,511;0;569
9,536;30;500;;13,521;0;589
9,545;30;490;;13,53;0;579
9,556;20;500;;13,541;0;579
9,566;20;490;;13,551;0;579
9,577;20;500;;13,562;0;589
9,594;20;490;;13,573;0;598
9,607;20;500;;13,579;0;598
9,617;20;490;;13,59;0;589
9,626;20;481;;13,6;0;569
9,637;20;481;;13,609;0;569
9,647;20;471;;13,622;0;569
9,656;20;490;;13,63;0;569
9,666;20;500;;13,641;0;579
9,677;20;490;;13,652;0;589
9,686;20;481;;13,662;0;589
9,705;20;500;;13,679;0;598
9,715;20;500;;13,692;0;608
9,726;20;490;;13,701;0;608
9,735;20;490;;13,709;0;608
9,745;20;490;;13,722;0;598
9,758;20;481;;13,731;0;598
9,769;20;490;;13,741;0;589
9,777;20;490;;13,75;0;579
9,786;20;490;;13,76;0;579
9,797;20;500;;13,771;0;589
9,805;20;500;;13,782;0;589
9,816;20;490;;13,79;0;589
9,826;20;500;;13,801;0;589
9,843;20;520;;13,812;0;589
9,854;20;510;;13,82;0;598
9,865;20;510;;13,829;0;598
9,875;20;510;;13,839;0;598
9,886;20;500;;13,85;0;589
9,895;20;481;;13,861;0;589
9,905;20;490;;13,871;0;579
9,914;20;510;;13,88;0;589
9,927;20;510;;13,891;0;589
9,935;20;510;;13,901;0;598
9,946;20;510;;13,912;0;589
9,957;20;500;;13,92;0;608
9,965;20;510;;13,929;0;608
9,976;20;520;;13,937;0;608
9,984;20;520;;13,95;0;608
9,995;20;530;;13,961;0;608
10,008;20;540;;13,978;0;598
10,014;20;530;;13,991;0;589
10,025;20;530;;13,999;0;579
10,036;20;520;;14,01;0;579
10,046;20;520;;14,019;0;589
10,063;20;510;;14,029;0;598
10,076;20;510;;14,04;0;598
10,087;20;520;;14,048;0;598
10,095;20;530;;14,061;0;598
10,104;20;520;;14,072;0;598
10,117;20;520;;14,078;0;608
10,127;20;530;;14,089;0;589
10,136;20;540;;14,1;0;579
10,144;20;540;;14,11;0;569
10,157;20;540;;14,121;0;579
10,166;20;540;;14,129;0;579
10,174;20;540;;14,14;0;579
10,187;20;530;;14,149;0;589
10,196;20;510;;14,161;0;598
10,206;20;510;;14,17;0;608
10,217;20;520;;14,181;0;618
10,225;20;530;;14,189;0;618
10,234;20;520;;14,202;0;608
10,247;20;530;;14,213;0;589
10,257;20;530;;14,221;0;589
10,266;20;540;;14,232;0;598
10,274;20;530;;14,243;0;598
10,285;20;530;;14,251;0;598
10,296;20;549;;14,26;0;598
10,306;20;549;;14,27;0;608
10,315;20;549;;14,279;0;608
10,324;20;559;;14,292;0;618
10,336;20;549;;14,3;0;618
10,345;20;540;;14,317;0;598
10,353;20;530;;14,33;0;589
10,366;20;520;;14,341;0;589
10,375;20;520;;14,351;0;589
10,385;20;530;;14,368;0;598
10,396;20;530;;14,381;0;598
10,405;20;530;;14,392;0;598
10,415;20;540;;14,4;0;589
10,426;20;540;;14,411;0;598
10,437;20;540;;14,422;0;598
10,454;20;540;;14,43;0;598
10,466;20;549;;14,439;0;598
10,475;20;549;;14,449;0;579
10,484;20;540;;14,462;0;579
10,494;20;540;;14,471;0;579
10,507;20;530;;14,481;0;589
10,516;20;520;;14,492;0;579
10,526;20;520;;14,501;0;589
10,535;20;520;;14,511;0;589
10,543;20;520;;14,518;0;598
10,554;20;530;;14,531;0;608
10,567;20;540;;14,541;0;608
10,573;20;530;;14,55;0;589
10,584;20;540;;14,56;0;589
10,597;20;549;;14,571;0;579
10,603;20;549;;14,588;0;579
10,614;20;549;;14,599;0;589
10,624;20;559;;14,612;0;589
10,644;20;569;;14,62;0;589
10,654;20;549;;14,631;0;598
10,665;20;549;;14,639;0;589
10,673;20;549;;14,65;0;589
10,684;20;540;;14,659;0;579
10,695;20;549;;14,671;0;559
10,703;20;540;;14,68;0;569
10,714;20;540;;14,691;0;579
10,727;20;540;;14,701;0;579
10,735;20;540;;14,712;0;589
10,744;20;530;;14,718;0;589
10,754;20;540;;14,731;0;598
10,765;20;549;;14,742;0;608
10,782;20;559;;14,748;0;598
10,793;20;549;;14,761;0;589
10,806;20;549;;14,769;0;589
10,816;20;540;;14,78;0;589
10,825;20;520;;14,791;0;589
10,833;20;530;;14,799;0;579
10,844;20;540;;14,808;0;589
10,855;20;540;;14,821;0;598
10,865;20;540;;14,829;0;608
10,874;20;540;;14,842;0;618
10,885;20;549;;14,848;0;618
10,893;20;549;;14,861;0;618
10,906;20;549;;14,868;0;618
10,914;20;540;;14,878;0;608
10,923;20;549;;14,889;0;598
10,934;20;549;;14,9;0;589
10,944;20;540;;14,91;0;589
10,955;20;530;;14,921;0;589
10,964;20;520;;14,927;0;589
10,974;20;520;;14,94;-10;598
10,983;20;520;;14,951;-10;598
10,993;20;520;;14,961;-10;598
11,004;20;520;;14,97;-10;608
11,013;20;530;;14,979;-10;618
11,025;20;540;;14,991;-10;608
11,034;20;530;;15;-10;598
11,045;20;530;;15,011;-10;589
11,055;20;530;;15,017;-10;598
11,066;20;540;;15,028;-10;598
11,072;20;540;;15,038;-10;598
11,085;20;540;;15,057;-10;598
11,096;20;549;;15,07;-10;608
11,113;20;540;;15,087;-10;608
11,124;20;520;;15,098;-10;598
11,134;20;520;;15,109;-10;589
11,143;20;530;;15,119;-10;579
11,153;20;530;;15,128;-10;589
11,166;20;530;;15,139;-10;598
11,175;20;530;;15,147;-10;598
11,185;20;530;;15,16;-10;608
11,196;20;530;;15,171;-10;598
11,205;20;520;;15,179;-10;589
11,213;20;520;;15,188;-10;589
11,224;20;530;;15,2;-10;589
11,234;20;540;;15,211;-10;598
11,245;20;540;;15,22;-10;598
11,256;20;530;;15,23;-10;598
11,262;20;520;;15,241;-10;598
11,275;20;520;;15,249;-10;598
11,284;20;500;;15,26;-10;598
11,292;20;500;;15,269;-10;589
11,303;20;500;;15,277;-10;589
11,313;20;510;;15,288;-10;598
11,324;20;520;;15,299;-10;598
11,333;20;520;;15,307;-10;608
11,343;20;520;;15,32;-10;608
11,356;10;530;;15,328;-10;608
11,365;10;540;;15,341;-10;608
11,375;10;540;;15,35;-10;608
11,384;10;540;;15,36;-10;608
11,392;10;549;;15,369;-10;598
11,403;10;549;;15,377;-10;608
11,414;10;540;;15,388;-10;598
11,424;10;530;;15,399;-10;608
11,433;10;530;;15,416;-10;598
11,444;10;530;;15,429;-10;608
11,454;10;520;;15,439;-10;598
11,465;10;520;;15,45;-10;608
11,473;10;530;;15,461;-10;598
11,484;10;540;;15,469;-10;598
11,495;10;540;;15,48;-10;608
11,503;10;540;;15,491;-10;598
11,512;10;549;;15,499;-10;598
11,522;10;559;;15,51;-10;598
11,535;10;569;;15,518;-10;608
11,544;10;579;;15,529;-10;608
11,554;10;589;;15,537;-10;608
11,563;10;598;;15,557;-10;608
11,574;10;608;;15,569;-10;608
11,582;10;608;;15,578;-10;598
11,595;10;618;;15,587;-10;598
11,604;10;618;;15,597;-10;608
11,614;10;628;;15,61;-10;608
11,625;10;628;;15,619;-10;618
11,633;10;638;;15,629;-10;608
11,642;10;628;;15,64;-10;598
11,655;10;638;;15,648;-10;598
11,663;10;638;;15,659;-10;598
11,674;10;638;;15,67;-10;598
11,682;10;628;;15,68;-10;608
11,695;10;628;;15,695;-10;608
11,704;10;628;;15,71;-10;598
11,712;10;628;;15,719;-10;598
11,723;10;618;;15,727;-10;598
11,734;10;618;;15,738;-10;598
11,744;10;608;;15,749;-10;598
11,753;10;608;;15,759;-10;598
11,764;10;598;;15,768;-10;608
11,774;10;598;;15,776;-10;598
11,785;10;598;;15,789;-10;608
11,802;10;608;;15,806;-10;598
11,813;10;608;;15,819;-10;598
11,823;10;598;;15,828;-10;598
11,832;10;608;;15,838;-10;598
11,845;10;598;;15,847;-10;598
11,855;10;598;;15,857;-10;589
11,864;10;608;;15,866;-10;589
11,872;10;598;;15,877;-10;598
11,885;10;598;;15,889;-10;598
11,892;10;608;;15,898;-10;608
11,902;10;598;;15,909;-10;618
11,915;10;598;;15,917;-10;608
11,921;10;589;;15,928;-10;608
11,932;10;589;;15,939;-10;608
11,945;10;589;;15,949;-10;608
11,953;10;579;;15,958;-10;608
11,964;10;579;;15,966;-10;608
11,973;10;569;;15,977;-10;618
11,983;10;579;;15,988;-10;608
11,992;10;579;;15,998;-10;608
12,005;10;579;;16,007;-10;598
12,013;10;579;;16,026;-10;589
12,024;10;589;;16,037;-10;589
12,032;10;589;;16,047;-10;598
12,043;10;589;;16,056;-10;608
12,054;10;579;;16,069;-10;598
12,062;10;579;;16,079;-10;589
12,073;10;579;;16,09;-10;589
12,084;10;589;;16,099;-10;589
12,094;10;589;;16,107;-10;598
12,103;10;579;;16,118;-10;598
12,113;10;579;;16,128;-10;598
12,124;10;589;;16,139;-10;589
12,135;10;589;;16,148;-10;589
12,143;10;579;;16,165;-10;589
12,152;10;579;;16,177;-10;579
12,165;10;579;;16,19;-10;579
12,173;10;579;;16,199;-10;579
12,182;10;569;;16,216;-10;589
12,192;10;569;;16,229;-10;579
12,203;10;559;;16,239;-10;579
12,212;10;559;;16,248;-10;569
12,224;10;559;;16,256;-10;569
12,233;10;549;;16,269;-10;569
12,244;10;549;;16,276;-10;569
12,254;10;549;;16,288;-10;589
12,263;10;549;;16,299;-10;579
12,273;10;549;;16,305;-10;579
12,282;10;530;;16,316;-10;579
12,293;10;530;;16,327;-10;579
12,303;10;530;;16,337;-10;589
12,314;10;530;;16,346;-10;598
12,322;10;520;;16,357;-10;598
12,331;10;530;;16,365;-10;608
12,342;10;540;;16,376;-10;598
12,352;10;549;;16,389;-10;589
12,363;10;549;;16,397;-10;589
12,374;10;540;;16,406;-10;598
12,382;10;540;;16,419;-10;598
12,393;10;540;;16,427;-10;608
12,404;10;549;;16,438;-10;618
12,412;10;549;;16,448;-10;608
12,423;10;549;;16,465;-10;608
12,431;10;559;;16,476;-10;598
12,442;10;559;;16,495;-10;608
12,453;10;569;;16,506;-10;608
12,461;10;569;;16,517;-10;618
12,474;10;559;;16,525;-10;608
12,482;10;569;;16,538;-20;598
12,493;10;559;;16,547;-20;598
12,502;10;559;;16,555;-20;598
12,517;10;569;;16,566;-20;598
12,521;10;559;;16,576;-20;608
12,532;10;569;;16,587;-20;608
12,544;10;569;;16,598;-20;618
12,553;10;579;;16,606;-20;618
12,564;10;579;;16,617;-20;608
12,574;10;569;;16,628;-20;608
12,581;10;569;;16,636;-20;618
12,593;10;579;;16,647;-20;608
12,602;10;569;;16,655;-20;608
12,61;10;569;;16,668;-20;618
12,63;10;579;;16,677;-20;618
12,642;10;589;;16,689;-20;618
12,653;10;589;;16,698;-20;618
12,662;10;589;;16,709;-20;618
12,672;10;589;;16,717;-20;628
12,683;10;598;;16,728;-20;628
12,692;10;598;;16,739;-20;618
12,702;10;598;;16,747;-20;628
12,711;10;598;;16,758;-20;628
12,721;10;598;;16,768;-20;628
12,741;10;589;;16,777;-20;638
12,751;10;589;;16,788;-20;638
12,762;10;579;;16,798;-20;638
12,773;10;589;;16,809;-20;638
12,783;10;589;;16,817;-20;638
12,792;10;579;;16,826;-20;638
12,802;10;569;;16,839;-20;638
12,811;10;579;;16,847;-20;628
12,824;10;579;;16,858;-20;628
12,83;10;569;;16,867;-20;638
12,841;10;569;;16,875;-20;638
12,854;10;569;;16,886;-20;638
12,86;10;579;;16,894;-20;638
12,871;10;569;;16,905;-20;628
12,881;10;559;;16,916;-20;628
12,89;10;559;;16,935;-20;638
12,901;10;569;;16,946;-20;647
12,911;10;559;;16,956;-20;638
12,92;10;549;;16,965;-20;638
12,933;10;549;;16,975;-20;638
12,941;10;549;;16,986;-20;638
12,952;10;549;;16,995;-20;638
12,962;10;549;;17,005;-20;638
12,971;10;540;;17,016;-20;638
12,982;10;540;;17,024;-20;638
12,992;10;540;;17,035;-20;638
13,001;10;540;;17,046;-20;647
13,012;10;540;;17,054;-20;647
13,02;10;530;;17,065;-20;638
13,031;10;540;;17,076;-20;638
13,041;10;549;;17,084;-20;647
13,052;10;549;;17,097;-20;647
13,063;10;549;;17,105;-20;647
13,071;10;540;;17,114;-20;647
13,082;10;540;;17,127;-20;638
13,099;10;530;;17,138;-20;628
13,11;10;530;;17,146;-20;628
13,12;10;530;;17,159;-20;638
13,131;10;540;;17,165;-20;638
13,142;10;540;;17,184;-20;647
13,15;10;540;;17,197;-20;647
13,161;10;540;;17,208;-20;647
13,169;10;549;;17,216;-20;647
13,182;10;549;;17,227;-20;647
13,191;10;540;;17,238;-20;647
13,21;10;540;;17,246;-20;647
13,221;10;549;;17,257;-20;638
13,231;0;549;;17,266;-20;628
13,242;0;559;;17,274;-20;638
13,25;0;549;;17,287;-20;638
13,261;0;559;;17,295;-20;638
13,27;0;569;;17,304;-20;638
13,282;0;569;;17,317;-20;638
13,293;0;559;;17,325;-20;647
13,302;0;549;;17,336;-20;638
13,31;0;549;;17,347;-20;647
13,323;0;559;;17,355;-20;647
13,332;0;559;;17,374;-20;638
13,342;0;559;;17,387;-20;647
13,351;0;559;;17,396;-20;647
13,359;0;569;;17,404;-20;647
13,372;0;579;;17,415;-20;647
13,381;0;579;;17,426;-20;647
13,389;0;579;;17,434;-20;638
13,402;0;589;;17,447;-20;647
13,413;0;579;;17,458;-20;638
13,43;0;579;;17,466;-20;647
13,44;0;579;;17,475;-20;638
13,451;0;579;;17,487;-20;647
13,462;0;579;;17,496;-20;647
13,472;0;579;;17,504;-20;638
13,489;0;569;;17,517;-20;647
13,5;0;569;;17,526;-20;647
13,511;0;569;;17,536;-20;647
13,521;0;589;;17,545;-20;647
13,53;0;579;;17,558;-20;638
13,541;0;579;;17,566;-20;638
13,551;0;579;;17,575;-20;628
13,562;0;589;;17,586;-20;628
13,573;0;598;;17,596;-20;628
13,579;0;598;;17,605;-20;628
13,59;0;589;;17,615;-20;628
13,6;0;569;;17,626;-20;628
13,609;0;569;;17,637;-20;638
13,622;0;569;;17,654;-20;628
13,63;0;569;;17,667;-20;638
13,641;0;579;;17,677;-20;638
13,652;0;589;;17,686;-20;638
13,662;0;589;;17,694;-20;628
13,679;0;598;;17,705;-20;628
13,692;0;608;;17,716;-20;618
13,701;0;608;;17,724;-20;618
13,709;0;608;;17,737;-20;628
13,722;0;598;;17,746;-20;618
13,731;0;598;;17,754;-20;628
13,741;0;589;;17,767;-20;618
13,75;0;579;;17,778;-20;628
13,76;0;579;;17,786;-20;628
13,771;0;589;;17,795;-20;618
13,782;0;589;;17,805;-20;628
13,79;0;589;;17,814;-20;638
13,801;0;589;;17,824;-20;628
13,812;0;589;;17,844;-20;628
13,82;0;598;;17,854;-20;618
13,829;0;598;;17,865;-20;608
13,839;0;598;;17,874;-20;618
13,85;0;589;;17,884;-20;618
13,861;0;589;;17,895;-20;618
13,871;0;579;;17,906;-20;628
13,88;0;589;;17,914;-20;628
13,891;0;589;;17,925;-20;628
13,901;0;598;;17,933;-20;638
13,912;0;589;;17,944;-20;638
13,92;0;608;;17,955;-20;628
13,929;0;608;;17,963;-20;618
13,937;0;608;;17,974;-20;628
13,95;0;608;;17,984;-20;618
13,961;0;608;;17,995;-20;628
13,978;0;598;;18,006;-20;628
13,991;0;589;;18,014;-20;628
13,999;0;579;;18,023;-20;618
14,01;0;579;;18,036;-20;628
14,019;0;589;;18,044;-20;628
14,029;0;598;;18,055;-20;628
14,04;0;598;;18,063;-20;638
14,048;0;598;;18,074;-20;638
14,061;0;598;;18,087;-20;628
14,072;0;598;;18,095;-20;628
14,078;0;608;;18,106;-20;628
14,089;0;589;;18,115;-20;638
14,1;0;579;;18,125;-20;638
14,11;0;569;;18,134;-20;628
14,121;0;579;;18,147;-20;628
14,129;0;579;;18,157;-20;628
14,14;0;579;;18,166;-20;628
14,149;0;589;;18,179;-30;628
14,161;0;598;;18,187;-30;638
14,17;0;608;;18,196;-30;618
14,181;0;618;;18,206;-30;628
14,189;0;618;;18,215;-30;618
14,202;0;608;;18,223;-30;628
14,213;0;589;;18,236;-30;628
14,221;0;589;;18,245;-30;628
14,232;0;598;;18,253;-30;628
14,243;0;598;;18,266;-30;638
14,251;0;598;;18,275;-30;628
14,26;0;598;;18,287;-30;618
14,27;0;608;;18,296;-30;628
14,279;0;608;;18,313;-30;638
14,292;0;618;;18,326;-30;647
14,3;0;618;;18,336;-30;647
14,317;0;598;;18,345;-30;647
14,33;0;589;;18,354;-30;638
14,341;0;589;;18,366;-30;638
14,351;0;589;;18,375;-30;657
14,368;0;598;;18,386;-30;647
14,381;0;598;;18,396;-30;647
14,392;0;598;;18,407;-30;647
14,4;0;589;;18,415;-30;647
14,411;0;598;;18,426;-30;647
14,422;0;598;;18,437;-30;638
14,43;0;598;;18,445;-30;647
14,439;0;598;;18,456;-30;647
14,449;0;579;;18,464;-30;638
14,462;0;579;;18,473;-30;647
14,471;0;579;;18,484;-30;638
14,481;0;589;;18,494;-30;647
14,492;0;579;;18,503;-30;647
14,501;0;589;;18,516;-30;657
14,511;0;589;;18,524;-30;657
14,518;0;598;;18,535;-30;647
14,531;0;608;;18,546;-30;638
14,541;0;608;;18,554;-30;647
14,55;0;589;;18,565;-30;647
14,56;0;589;;18,573;-30;647
14,571;0;579;;18,586;-30;647
14,588;0;579;;18,595;-30;647
14,599;0;589;;18,603;-30;647
14,612;0;589;;18,616;-30;647
14,62;0;589;;18,624;-30;647
14,631;0;598;;18,635;-30;657
14,639;0;589;;18,646;-30;657
14,65;0;589;;18,656;-30;647
14,659;0;579;;18,665;-30;638
14,671;0;559;;18,674;-30;647
14,68;0;569;;18,684;-30;647
14,691;0;579;;18,695;-30;647
14,701;0;579;;18,703;-30;647
14,712;0;589;;18,714;-30;647
14,718;0;589;;18,725;-30;647
14,731;0;598;;18,733;-30;647
14,742;0;608;;18,742;-30;657
14,748;0;598;;18,755;-30;657
14,761;0;589;;18,765;-30;657
14,769;0;589;;18,774;-30;647
14,78;0;589;;18,784;-30;638
14,791;0;589;;18,795;-30;647
14,799;0;579;;18,806;-30;647
14,808;0;589;;18,812;-30;647
14,821;0;598;;18,825;-30;647
14,829;0;608;;18,836;-30;647
14,842;0;618;;18,844;-30;638
14,848;0;618;;18,855;-30;647
14,861;0;618;;18,866;-30;647
14,868;0;618;;18,872;-30;657
14,878;0;608;;18,885;-30;657
14,889;0;598;;18,893;-30;657
14,9;0;589;;18,904;-30;647
14,91;0;589;;18,915;-30;647
14,921;0;589;;18,923;-30;647
14,927;0;589;;18,932;-30;657
14,94;-10;598;;18,944;-30;657
14,951;-10;598;;18,953;-30;647
14,961;-10;598;;18,962;-30;657
14,97;-10;608;;18,974;-30;647
14,979;-10;618;;18,983;-30;647
14,991;-10;608;;18,994;-30;657
15;-10;598;;19,006;-30;657
15,011;-10;589;;19,015;-30;647
15,017;-10;598;;19,023;-30;647
15,028;-10;598;;19,032;-30;647
15,038;-10;598;;19,045;-30;647
15,057;-10;598;;19,055;-30;647
15,07;-10;608;;19,064;-30;647
15,087;-10;608;;19,075;-30;647
15,098;-10;598;;19,085;-30;657
15,109;-10;589;;19,094;-30;647
15,119;-10;579;;19,104;-30;647
15,128;-10;589;;19,113;-30;657
15,139;-10;598;;19,124;-30;657
15,147;-10;598;;19,141;-30;657
15,16;-10;608;;19,151;-30;657
15,171;-10;598;;19,164;-30;647
15,179;-10;589;;19,175;-30;657
15,188;-10;589;;19,183;-30;657
15,2;-10;589;;19,194;-30;657
15,211;-10;598;;19,205;-30;667
15,22;-10;598;;19,213;-30;657
15,23;-10;598;;19,226;-30;657
15,241;-10;598;;19,235;-30;647
15,249;-10;598;;19,243;-30;647
15,26;-10;598;;19,256;-30;657
15,269;-10;589;;19,264;-30;647
15,277;-10;589;;19,282;-30;647
15,288;-10;598;;19,294;-30;647
15,299;-10;598;;19,305;-30;647
15,307;-10;608;;19,314;-30;647
15,32;-10;608;;19,324;-30;657
15,328;-10;608;;19,335;-30;657
15,341;-10;608;;19,343;-30;657
15,35;-10;608;;19,354;-30;657
15,36;-10;608;;19,365;-30;667
15,369;-10;598;;19,373;-30;657
15,377;-10;608;;19,382;-30;667
15,388;-10;598;;19,395;-30;667
15,399;-10;608;;19,405;-30;657
15,416;-10;598;;19,414;-30;647
15,429;-10;608;;19,422;-30;657
15,439;-10;598;;19,433;-30;657
15,45;-10;608;;19,444;-30;657
15,461;-10;598;;19,454;-30;657
15,469;-10;598;;19,463;-30;657
15,48;-10;608;;19,474;-30;657
15,491;-10;598;;19,484;-30;667
15,499;-10;598;;19,493;-30;667
15,51;-10;598;;19,503;-30;657
15,518;-10;608;;19,514;-30;667
15,529;-10;608;;19,523;-30;667
15,537;-10;608;;19,535;-30;667
15,557;-10;608;;19,542;-30;667
15,569;-10;608;;19,555;-30;667
15,578;-10;598;;19,563;-30;667
15,587;-10;598;;19,572;-30;677
15,597;-10;608;;19,585;-30;677
15,61;-10;608;;19,591;-30;677
15,619;-10;618;;19,604;-30;687
15,629;-10;608;;19,612;-30;687
15,64;-10;598;;19,623;-30;677
15,648;-10;598;;19,631;-30;687
15,659;-10;598;;19,642;-30;677
15,67;-10;598;;19,653;-30;677
15,68;-10;608;;19,661;-30;667
15,695;-10;608;;19,674;-30;677
15,71;-10;598;;19,685;-30;667
15,719;-10;598;;19,691;-30;677
15,727;-10;598;;19,704;-30;667
15,738;-10;598;;19,713;-30;677
15,749;-10;598;;19,721;-30;667
15,759;-10;598;;19,734;-30;667
15,768;-10;608;;19,742;-30;667
15,776;-10;598;;19,755;-30;667
15,789;-10;608;;19,762;-30;667
15,806;-10;598;;19,781;-40;667
15,819;-10;598;;19,794;-40;677
15,828;-10;598;;19,802;-40;667
15,838;-10;598;;19,811;-40;677
15,847;-10;598;;19,821;-40;677
15,857;-10;589;;19,832;-40;687
15,866;-10;589;;19,843;-40;677
15,877;-10;598;;19,853;-40;677
15,889;-10;598;;19,864;-40;677
15,898;-10;608;;19,873;-40;677
15,909;-10;618;;19,89;-40;677
15,917;-10;608;;19,905;-40;687
15,928;-10;608;;19,913;-40;677
15,939;-10;608;;19,924;-40;677
15,949;-10;608;;19,934;-40;677
15,958;-10;608;;19,943;-40;677
15,966;-10;608;;19,954;-40;677
15,977;-10;618;;19,971;-40;677
15,988;-10;608;;19,983;-40;687
15,998;-10;608;;19,992;-40;677
16,007;-10;598;;20,003;-40;687
16,026;-10;589;;20,011;-40;697
16,037;-10;589;;20,024;-40;697
16,047;-10;598;;20,035;-40;697
16,056;-10;608;;20,043;-40;706
16,069;-10;598;;20,054;-40;697
16,079;-10;589;;20,062;-40;687
16,09;-10;589;;20,073;-40;697
16,099;-10;589;;20,082;-40;697
16,107;-10;598;;20,092;-40;706
16,118;-10;598;;20,101;-40;706
16,128;-10;598;;20,114;-40;706
16,139;-10;589;;20,12;-40;697
16,148;-10;589;;20,133;-40;697
16,165;-10;589;;20,143;-40;706
16,177;-10;579;;20,152;-40;697
16,19;-10;579;;20,163;-40;706
16,199;-10;579;;20,173;-40;716
16,216;-10;589;;20,19;-40;697
16,229;-10;579;;20,203;-40;706
16,239;-10;579;;20,22;-40;706
16,248;-10;569;;20,233;-40;716
16,256;-10;569;;20,244;-40;706
16,269;-10;569;;20,254;-40;706
16,276;-10;569;;20,263;-40;706
16,288;-10;589;;20,271;-40;706
16,299;-10;579;;20,284;-40;697
16,305;-10;579;;20,291;-40;706
16,316;-10;579;;20,303;-40;716
16,327;-10;579;;20,312;-40;706
16,337;-10;589;;20,323;-40;706
16,346;-10;598;;20,331;-40;697
16,357;-10;598;;20,342;-40;706
16,365;-10;608;;20,359;-40;706
16,376;-10;598;;20,372;-40;706
16,389;-10;589;;20,385;-40;697
16,397;-10;589;;20,393;-40;706
16,406;-10;598;;20,402;-40;706
16,419;-10;598;;20,41;-40;706
16,427;-10;608;;20,421;-40;716
16,438;-10;618;;20,431;-40;716
16,448;-10;608;;20,44;-40;706
16,465;-10;608;;20,453;-40;716
16,476;-10;598;;20,463;-40;706
16,495;-10;608;;20,472;-40;706
16,506;-10;608;;20,481;-40;706
16,517;-10;618;;20,491;-40;716
16,525;-10;608;;20,502;-40;716
16,538;-20;598;;20,513;-40;716
16,547;-20;598;;20,523;-40;716
16,555;-20;598;;20,53;-40;706
16,566;-20;598;;20,542;-40;706
16,576;-20;608;;20,553;-40;706
16,587;-20;608;;20,562;-40;706
16,598;-20;618;;20,57;-40;706
16,606;-20;618;;20,583;-40;716
